#dig start(11;11)
,,,,,,d,,,,,,d,,,,,,,,,
,,,,,,d,,,,,,d,,,,,,,,,
,,,,d,,d,,d,,d,,d,,d,,,,,,,
,,,,d,,d,,d,,d,,d,,d,,,,,,,
,,,,d,d,d,d,d,,d,d,d,,d,,d,d,d,,,
,,,,,,d,,,,,,d,d,,,d,,,,,
,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,
,,,,,d,d,,,,d,,d,,,,d,,,,,
d,d,d,d,d,d,d,d,d,d,d,d,d,,d,,d,d,d,,,
,,,,d,,,,d,d,d,d,d,,d,,,,,,,
,,d,d,d,,d,d,d,d,i,d,d,d,d,,d,d,d,,,
,,,,,,d,,d,d,d,d,d,,,,d,,,,,
,,d,d,d,,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,
,,,,d,,,,d,,d,,,,d,d,,,,,,
d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,,
,,,,d,,,d,d,,,,,,d,,,,,,,
,,d,d,d,,d,,d,d,d,,d,d,d,d,d,,,,,
,,,,,,d,,d,,d,,d,,d,,d,,,,,
,,,,,,d,,d,,d,,d,,d,,d,,,,,
,,,,,,,,d,,,,,,d,,,,,,,
,,,,,,,,d,,,,,,d,,,,,,,
