"#build start(16; 16; Center tile/central 3x3 Stairwell) Raynard Wirlpool housing 48x doors,beds,cabinets&coffers plus 8x statues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,f,,,,f,,,,,,,,,,,,,,#
,,,,h,,,,h,,,,b,,d,,d,,b,,,,h,,,,h,,,,,#
,,,b,,d,,d,,b,,,,h,,,,h,,,,b,,d,,d,,b,,,,#
,b,,,f,,,,f,,,b,,,,,,,,b,,,f,,,,f,,,b,,#
f,,h,,,,,,,,h,,f,,,,,,f,,h,,,,,,,,h,,f,#
,d,,,,,,,,,,d,,,,,,,,d,,,,,,,,,,d,,#
,,,,,,s,,,,,,,,,s,,,,,,,,,s,,,,,,,#
,d,,,,,,,,,,d,,,,,,,,d,,,,,,,,,,d,,#
f,,h,,,,,,,,h,,f,,,,,,f,,h,,,,,,,,h,,f,#
,b,,,f,,,,f,,,b,,,,,,,,b,,,f,,,,f,,,b,,#
,,,b,,d,,d,,b,,,,h,,,,h,,,,b,,d,,d,,b,,,,#
,,,,h,,,,h,,,,b,,d,,d,,b,,,,h,,,,h,,,,,#
,,b,,,,,,,,b,,,f,,,,f,,,b,,,,,,,,b,,,#
,h,,f,,,,,,f,,h,,,,,,,,h,,f,,,,,,f,,h,,#
,,d,,,,,,,,d,,,,,,,,,,d,,,,,,,,d,,,#
,,,,,,s,,,,,,,,,,,,,,,,,,s,,,,,,,#
,,d,,,,,,,,d,,,,,,,,,,d,,,,,,,,d,,,#
,h,,f,,,,,,f,,h,,,,,,,,h,,f,,,,,,f,,h,,#
,,b,,,,,,,,b,,,f,,,,f,,,b,,,,,,,,b,,,#
,,,,h,,,,h,,,,b,,d,,d,,b,,,,h,,,,h,,,,,#
,,,b,,d,,d,,b,,,,h,,,,h,,,,b,,d,,d,,b,,,,#
,b,,,f,,,,f,,,b,,,,,,,,b,,,f,,,,f,,,b,,#
f,,h,,,,,,,,h,,f,,,,,,f,,h,,,,,,,,h,,f,#
,d,,,,,,,,,,d,,,,,,,,d,,,,,,,,,,d,,#
,,,,,,s,,,,,,,,,s,,,,,,,,,s,,,,,,,#
,d,,,,,,,,,,d,,,,,,,,d,,,,,,,,,,d,,#
f,,h,,,,,,,,h,,f,,,,,,f,,h,,,,,,,,h,,f,#
,b,,,f,,,,f,,,b,,,,,,,,b,,,f,,,,f,,,b,,#
,,,b,,d,,d,,b,,,,h,,,,h,,,,b,,d,,d,,b,,,,#
,,,,h,,,,h,,,,b,,d,,d,,b,,,,h,,,,h,,,,,#
,,,,,,,,,,,,,f,,,,f,,,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
