#dig start(23;25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,
,,,,,,,,,,,,d,,,d,,,,,d,,,,,,,,,,,,d,,,d,,,,,d,,,,
,,,,,,,,,,,,d,,d,d,d,,d,,d,,,,,,,,,,,,d,,d,d,d,,d,,d,,,,
,,,,,,,,,,,,d,,,,,,d,d,d,,,,,,,,,,,,d,,,,,,d,d,d,,,,
d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,,,,
d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,,
d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,,,
d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,
d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,,,
d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,,,,
d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,,,
d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d
,,,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d
,,,,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d
,,,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d
,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d
,,,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d
,,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d
,,,,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d
,,,,d,d,d,,,,,,d,,,d,,,,,d,,,,d,d,d,,,,,,d,,,d,,,,,d,,,,
,,,,d,,d,,d,d,d,,d,,d,d,d,,d,,d,,,,d,,d,,d,d,d,,d,,d,d,d,,d,,d,,,,
,,,,d,,,,,d,,,d,,,,,,d,d,d,,,,d,,,,,d,,,d,,,,,,d,d,d,,,,
d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,,,,
d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,,
d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,,,
d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,
d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,,,
d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,d,d,,d,d,d,d,d,,d,d,d,,,,,,d,d,d,,,,
d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,,,
d,,,,,,d,,,,,,d,,,d,,,,,d,,,,,,d,,,,,,d,,,d,,,,,d,,,,
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d
,,,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d
,,,,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d,d,d,,,,,,d,d,d,,d,d,d,d,d,,d,d,d
,,,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,d,d,,d,,d,,d,,d,,d,,d,,d
,,,,d,,,,,d,,,d,,,,,,d,,,,,,d,,,,,d,,,d,,,,,,d,,,,,,d
,,,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,,d,d,d,,d
,,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d,,,,,d,,,d,,,d,,,d,,,d,,,d
,,,,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d
,,,,d,d,d,,,,,,d,,,,,,,,,,,,d,d,d,,,,,,d,,,,,,,,,,,,
,,,,d,,d,,d,d,d,,d,,,,,,,,,,,,d,,d,,d,d,d,,d,,,,,,,,,,,,
,,,,d,,,,,d,,,d,,,,,,,,,,,,d,,,,,d,,,d,,,,,,,,,,,,
,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,
